"","treatment","timestep","treatment_factor","timestep_factor","comp","plot_id","fire_tolerate_carbon","tree_carbon","fire_percentage","fire_percentage_01"
"192","mech","post_18","mech","post_18",490,"0490-00122",157.198316555812,242.035004538372,64.9485874390907,0.649485874390907
"193","mech","post_18","mech","post_18",490,"0490-00126",166.683349052526,203.144428078861,82.0516470123508,0.820516470123508
"194","mech","pre_treatment","mech","pre_treatment",190,"0190-00010",72.8662679750213,186.348155878568,39.1022211255496,0.391022211255496
"195","mech","pre_treatment","mech","pre_treatment",190,"0190-00026",28.2962992526441,120.449001302597,23.4923485845739,0.234923485845739
"196","mech","pre_treatment","mech","pre_treatment",190,"0190-00102",11.1303153474127,198.626478057813,5.60364129508104,0.0560364129508104
"197","mech","pre_treatment","mech","pre_treatment",190,"0190-00104",54.5196788457953,163.224835275323,33.4015830090028,0.334015830090028
"198","mech","pre_treatment","mech","pre_treatment",190,"0190-00110",35.8145016861853,121.834889813638,29.3959322661744,0.293959322661744
"199","mech","pre_treatment","mech","pre_treatment",190,"0190-00111",89.8493501653571,189.182479850832,47.4934836651904,0.474934836651904
"200","mech","pre_treatment","mech","pre_treatment",190,"0190-00113",84.8400807428374,166.478378078742,50.9616213960887,0.509616213960887
"201","mech","pre_treatment","mech","pre_treatment",190,"0190-00116",10.9457052119892,177.596469846993,6.16324481078897,0.0616324481078897
"202","mech","pre_treatment","mech","pre_treatment",350,"0350-00002",80.5113287868181,170.780373505483,47.1431975081336,0.471431975081336
"203","mech","pre_treatment","mech","pre_treatment",350,"0350-00003",40.3293434936934,120.338422802987,33.5132724480848,0.335132724480848
"204","mech","pre_treatment","mech","pre_treatment",350,"0350-00005",64.4131709929386,195.930291547566,32.8755551192047,0.328755551192047
"205","mech","pre_treatment","mech","pre_treatment",350,"0350-00101",16.1338528930709,222.107329108559,7.26398942251256,0.0726398942251256
"206","mech","pre_treatment","mech","pre_treatment",350,"0350-00103",1.29314607050414,226.072793903876,0.572004285953121,0.00572004285953121
